prompt_id,source,category,model,temperature,run,instruction_version,run_timestamp,latency_sec,response_length,char_len,word_len,sentence_count,avg_word_len,has_markdown,has_bullets,starts_with_answer,contains_disclaimer,contains_uncertainty,contains_date
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-05T17:20:14.226972+00:00,2.097686767578125,97,97,14,1,6.0,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-05T17:20:16.325234+00:00,3.6316988468170166,507,507,77,5,5.597402597402597,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-05T17:20:19.959282+00:00,1.8401381969451904,97,97,14,1,6.0,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-05T17:20:21.800130+00:00,2.604426145553589,462,462,69,4,5.7101449275362315,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-05T17:20:24.564528+00:00,1.1257803440093994,97,97,14,1,6.0,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-05T17:20:25.691210+00:00,1.298262596130371,519,519,75,5,5.933333333333334,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-05T17:20:27.863839+00:00,1.0922303199768066,97,97,14,1,6.0,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-05T17:20:29.658446+00:00,2.907047271728516,609,609,94,5,5.48936170212766,0,0,1,0,1,1
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-05T17:20:33.473591+00:00,1.125300645828247,93,93,14,1,5.714285714285714,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-05T17:20:34.599735+00:00,2.2994723320007324,438,438,69,4,5.36231884057971,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-05T17:20:37.774511+00:00,1.2272789478302002,108,108,16,1,5.8125,0,0,1,0,0,1
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-05T17:20:39.002487+00:00,1.767629861831665,369,369,63,4,4.873015873015873,0,0,1,0,0,1
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-05T17:20:41.543621+00:00,1.531564474105835,161,161,27,2,5.0,0,0,0,1,0,0
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-05T17:20:43.307773+00:00,1.4032020568847656,520,520,77,4,5.766233766233766,1,0,0,0,0,0
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-05T17:20:45.179165+00:00,2.13376259803772,171,171,28,2,5.142857142857143,0,0,0,1,0,0
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-05T17:20:47.910050+00:00,2.535933256149292,515,515,80,4,5.45,0,0,0,1,0,0
SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-05T17:20:50.446307+00:00,1.0487072467803955,65,65,11,1,5.0,0,0,1,0,0,0
SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-05T17:20:51.496139+00:00,2.223970651626587,413,413,62,4,5.67741935483871,0,0,1,0,0,0
SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-05T17:20:54.672357+00:00,1.6359312534332275,65,65,11,1,5.0,0,0,1,0,0,0
SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-05T17:20:56.309326+00:00,4.447638750076294,410,410,61,4,5.737704918032787,0,0,1,0,0,1
SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-05T17:21:01.121407+00:00,1.7520687580108645,63,63,11,1,4.818181818181818,0,0,1,0,0,0
SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-05T17:21:02.874213+00:00,1.7869174480438232,425,425,68,4,5.264705882352941,0,0,1,0,0,0
SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-05T17:21:04.909017+00:00,1.1186656951904297,71,71,12,1,5.0,0,0,1,0,0,0
SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-05T17:21:06.241118+00:00,1.8822438716888428,495,495,74,3,5.702702702702703,0,0,1,0,0,0
SQUAD_003,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-05T17:21:09.005424+00:00,1.551600694656372,142,142,19,1,6.526315789473684,0,0,0,0,0,0
