prompt_id,source,category,model,temperature,run,instruction_version,run_timestamp,instructional_stability_score,verbosity_score,confidence_score,format_score,latency_score,overall_quality_score
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-05T17:20:14.226972+00:00,0.00035266216462825575,1.0,1.0,1.0,0.9350354004043704,0.6403787418182754
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-05T17:20:16.325234+00:00,0.00035266216462825575,1.0,1.0,1.0,0.8875276017935836,0.6332525720266574
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-05T17:20:19.959282+00:00,0.0008674089573070025,1.0,1.0,1.0,0.9430115863756022,0.6417553310913978
SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-05T17:20:21.800130+00:00,0.0008674089573070025,1.0,1.0,1.0,0.9193418653645693,0.6382048729397428
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-05T17:20:24.564528+00:00,0.00029852207741818353,1.0,1.0,1.0,0.8287021491420787,0.6244098050984082
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-05T17:20:25.691210+00:00,0.00029852207741818353,1.0,1.0,1.0,0.8024573854484519,0.6204730905443642
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-05T17:20:27.863839+00:00,4.852976032129834e-05,1.0,1.0,1.0,0.8338070943861455,0.6250880495740343
SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-05T17:20:29.658446+00:00,4.852976032129834e-05,1.0,0.7,1.0,0.5576659757480001,0.5236668817783124
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-05T17:20:33.473591+00:00,0.0012105667184486217,1.0,1.0,1.0,0.8483786791039427,0.6276805002170485
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-05T17:20:34.599735+00:00,0.0012105667184486217,1.0,1.0,1.0,0.6901725475459277,0.6039495804833462
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-05T17:20:37.774511+00:00,0.005609277625013169,1.0,1.0,1.0,0.8346382756752282,0.6271589885200388
SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-05T17:20:39.002487+00:00,0.005609277625013169,1.0,1.0,1.0,0.7618322041315719,0.6162380777884904
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-05T17:20:41.543621+00:00,0.0010594556929076101,1.0,0.6,1.0,0.9525680028338783,0.5632560099175994
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-05T17:20:43.307773+00:00,0.0010594556929076101,1.0,1.0,0.7,0.9565433404137219,0.5988523105545759
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-05T17:20:45.179165+00:00,0.001315769868497433,1.0,0.6,1.0,0.9339181449985057,0.5605482412037499
SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-05T17:20:47.910050+00:00,0.001315769868497433,1.0,0.6,1.0,0.9214630653473651,0.5586799792560788
SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-05T17:20:50.446307+00:00,0.001230911902673481,0.9558823529411765,1.0,1.0,0.8404295309395546,0.6198776017480454
