run_id,prompt_id,source,category,model,temperature,run,instruction_version,run_timestamp,latency_sec,response_length,char_len,word_len,sentence_count,avg_word_len,has_markdown,has_bullets,starts_with_answer,contains_disclaimer,contains_uncertainty,contains_date
run_20260206_150046,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:48.135147+00:00,1.6065609455108645,97,97,14,1,6.0,0,0,1,0,0,1
run_20260206_150046,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:49.745019+00:00,1.183685302734375,171,171,28,2,5.142857142857143,0,0,0,1,0,0
run_20260206_150046,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:51.320968+00:00,1.9252252578735352,142,142,19,1,6.526315789473684,0,0,0,0,0,0
run_20260206_150046,SQUAD_004,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:54.061750+00:00,1.1008071899414062,127,127,20,1,5.4,0,0,1,0,0,0
run_20260206_150046,SQUAD_005,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:55.237960+00:00,1.003060817718506,85,85,15,1,4.733333333333333,0,0,1,0,0,0
run_20260206_150046,SQUAD_006,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:57.140568+00:00,1.2182905673980713,87,87,12,1,6.333333333333333,0,0,1,0,0,1
run_20260206_150046,SQUAD_007,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:00:59.357482+00:00,1.7622811794281006,82,82,13,1,5.384615384615385,0,0,1,0,0,0
run_20260206_150046,SQUAD_008,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:01.902453+00:00,0.9317877292633056,93,93,17,2,4.529411764705882,0,0,0,0,0,0
run_20260206_150046,SQUAD_009,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:03.082368+00:00,1.4928045272827148,176,176,29,1,5.103448275862069,0,0,0,0,0,0
run_20260206_150046,SQUAD_010,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:05.633908+00:00,2.6671595573425293,360,360,50,2,6.22,0,0,0,0,0,0
run_20260206_150046,SQUAD_011,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:08.809565+00:00,1.327871322631836,244,244,34,2,6.205882352941177,0,0,1,0,0,0
run_20260206_150046,SQUAD_012,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:10.138116+00:00,1.785487413406372,177,177,26,1,5.846153846153846,0,0,1,0,0,0
run_20260206_150046,SQUAD_013,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:12.596359+00:00,2.142002582550049,316,316,45,2,6.044444444444444,0,0,0,0,0,1
run_20260206_150046,SQUAD_014,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:14.953259+00:00,1.0207839012145996,100,100,16,1,5.3125,0,0,0,0,0,0
run_20260206_150046,SQUAD_015,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:15.974858+00:00,1.4782977104187012,136,136,20,1,5.85,0,0,0,0,0,1
run_20260206_150046,SQUAD_016,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:18.434979+00:00,1.3214046955108645,241,241,33,1,6.333333333333333,0,0,0,0,0,0
run_20260206_150046,SQUAD_017,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:20.277483+00:00,2.393336296081543,316,316,51,2,5.215686274509804,0,0,1,0,0,0
run_20260206_150046,SQUAD_018,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:23.348642+00:00,1.032138109207153,154,154,22,1,6.045454545454546,0,0,0,0,0,0
run_20260206_150046,SQUAD_019,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:24.381381+00:00,1.4800348281860352,140,140,25,1,4.64,0,0,0,0,0,1
run_20260206_150046,SQUAD_020,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:26.829975+00:00,1.834998607635498,73,73,12,1,5.166666666666667,0,0,0,0,0,0
run_20260206_150046,SQUAD_021,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:29.185535+00:00,1.2727866172790527,95,95,15,1,5.4,0,0,1,0,0,1
run_20260206_150046,SQUAD_022,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:30.622999+00:00,1.185772180557251,84,84,15,3,4.666666666666667,0,0,0,0,0,0
run_20260206_150046,SQUAD_023,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:32.536332+00:00,1.4666283130645752,149,149,24,1,5.25,0,0,0,0,0,0
run_20260206_150046,SQUAD_024,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:34.818175+00:00,1.0012788772583008,96,96,16,1,5.0625,0,0,0,0,0,0
run_20260206_150046,SQUAD_025,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:36.352655+00:00,1.1514410972595217,93,93,15,1,5.266666666666667,0,0,0,0,0,0
run_20260206_150046,SQUAD_026,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:38.503187+00:00,1.6189935207366943,98,98,19,1,4.2105263157894735,0,0,1,0,0,0
run_20260206_150046,SQUAD_027,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:40.971541+00:00,1.5543768405914309,39,39,5,1,7.0,0,0,1,0,0,0
run_20260206_150046,SQUAD_028,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:42.907905+00:00,1.293776512145996,217,217,35,1,5.228571428571429,0,0,0,0,0,1
run_20260206_150046,SQUAD_029,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:44.647206+00:00,1.545776605606079,179,179,28,2,5.428571428571429,0,0,0,0,0,0
run_20260206_150046,SQUAD_030,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:46.899743+00:00,1.0845589637756348,82,82,14,1,4.928571428571429,0,0,1,0,0,1
run_20260206_150046,SQUAD_031,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-06T15:01:48.439104+00:00,1.3340866565704346,189,189,30,1,5.333333333333333,0,0,1,0,0,0
