run_id,prompt_id,source,category,model,temperature,run,instruction_version,run_timestamp,latency_sec,response_length,char_len,word_len,sentence_count,avg_word_len,has_markdown,has_bullets,starts_with_answer,contains_disclaimer,contains_uncertainty,contains_date
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T17:45:03.248410+00:00,3.650864839553833,97,97,14,1,6.0,0,0,1,0,0,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T17:45:06.900048+00:00,3.364733934402466,583,583,84,5,5.9523809523809526,0,0,1,0,0,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T17:45:10.272574+00:00,3.1120405197143555,97,97,14,1,6.0,0,0,1,0,0,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T17:45:13.385090+00:00,3.0692100524902344,474,474,74,4,5.418918918918919,0,0,1,0,0,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T17:45:16.454987+00:00,1.4406492710113523,93,93,14,1,5.714285714285714,0,0,1,0,0,0
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T17:45:17.903648+00:00,1.892141819000244,393,393,59,4,5.677966101694915,0,0,1,0,0,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T17:45:20.348087+00:00,1.5330283641815186,97,97,14,1,6.0,0,0,1,0,0,0
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T17:45:21.989167+00:00,2.604090452194214,598,598,92,5,5.510869565217392,0,0,1,0,1,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-09T17:45:25.061170+00:00,2.354703187942505,94,94,14,1,5.785714285714286,0,0,1,0,0,1
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-09T17:45:27.416684+00:00,2.659465074539185,469,469,78,4,5.0256410256410255,0,0,1,0,0,1
