run_id,prompt_id,source,category,model,temperature,run,instruction_version,run_timestamp,instructional_stability_score,verbosity_score,confidence_score,format_score,latency_score,overall_quality_score
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T11:53:22.988645+00:00,0.0001098201350179394,1.0,1.0,1.0,0.30996800023184123,0.5465336370820324
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T11:53:27.507923+00:00,0.0001098201350179394,1.0,1.0,1.0,0.462706657432823,0.5694444356621797
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T11:53:31.027860+00:00,8.552800714897862e-05,1.0,1.0,1.0,0.6873287995656181,0.6031292547373448
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T11:53:33.076024+00:00,8.552800714897862e-05,1.0,1.0,1.0,0.5310762260297548,0.5796913687069654
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T11:53:36.158984+00:00,2.4916009731503204e-05,1.0,1.0,1.0,0.7802274591502675,0.6170428394759462
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T11:53:37.603252+00:00,2.4916009731503204e-05,0.9939062499999999,0.7,1.0,0.33972194597890537,0.4900529500002418
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T11:53:42.497871+00:00,0.0001457914571075084,1.0,1.0,1.0,0.6569140032374909,0.5985881274956113
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T11:53:44.753063+00:00,0.0001457914571075084,1.0,1.0,1.0,0.03368431559004359,0.5051036743484941
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-09T11:53:51.101634+00:00,0.0009272073551408992,1.0,1.0,1.0,0.9751253710140086,0.6465933282264007
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-09T11:53:52.324118+00:00,0.0009272073551408992,1.0,1.0,1.0,0.9615385535673181,0.6445553056093971
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-09T11:53:54.992678+00:00,0.0009586351536940199,1.0,1.0,1.0,0.9772048214568332,0.646916245522318
run_20260209_115320,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-09T11:53:56.223562+00:00,0.0009586351536940199,1.0,1.0,1.0,0.9575518190718921,0.6439682951645768
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T11:53:59.189540+00:00,0.0006984362386618598,1.0,0.6,1.0,0.7969030119480509,0.5397799044757392
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T11:54:00.520376+00:00,0.0006984362386618598,1.0,1.0,0.7,0.5235686917361493,0.533779756443954
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T11:54:04.310796+00:00,0.005247518399181385,1.0,0.6,1.0,0.7966283558270532,0.5413308848137715
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T11:54:05.643539+00:00,0.005247518399181385,1.0,1.0,1.0,0.7269147052212406,0.6108738372228996
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T11:54:08.100929+00:00,0.00429630469075234,0.9558823529411765,1.0,1.0,0.7669112811318153,0.6099227517527122
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T11:54:09.844657+00:00,0.00429630469075234,1.0,1.0,1.0,0.6976312236409433,0.6061483901879049
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T11:54:12.301457+00:00,0.00046817581165277687,0.9558823529411765,1.0,1.0,0.8308133651759206,0.618168219251643
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T11:54:13.425899+00:00,0.00046817581165277687,1.0,1.0,1.0,0.699034922801083,0.6050190999542409
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-09T11:54:16.291883+00:00,0.0006755387751938444,0.9264705882352942,1.0,1.0,0.9683363473816782,0.6344574789138637
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-09T11:54:17.870673+00:00,0.0006755387751938444,1.0,1.0,1.0,0.9623443522621898,0.6445880914106463
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-09T11:54:20.165561+00:00,0.00030864051711858135,0.9264705882352942,1.0,1.0,0.9735889050120998,0.6351169481681007
run_20260209_115320,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-09T11:54:21.613758+00:00,0.00030864051711858135,1.0,1.0,1.0,0.942813768417,0.6415300894435415
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T11:54:25.126294+00:00,0.00016658581098763354,1.0,1.0,1.0,0.769988969338343,0.6155566504345972
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T11:54:26.633235+00:00,0.00016658581098763354,1.0,1.0,1.0,0.5747308941607686,0.586267939157961
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T11:54:29.912529+00:00,0.0002248673241788482,1.0,1.0,1.0,0.791207028458874,0.6187597578322938
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T11:54:31.280899+00:00,0.0002248673241788482,1.0,1.0,1.0,0.6957868173362769,0.6044467261639042
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T11:54:33.907492+00:00,1.0828453192456214e-05,1.0,1.0,1.0,0.7832019947590392,0.6174840891724732
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T11:54:35.337880+00:00,1.0828453192456214e-05,0.9139367816091952,1.0,1.0,0.6597089161664041,0.5860506446249573
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T11:54:38.149509+00:00,3.307718901881991e-05,1.0,1.0,1.0,0.8177247551919629,0.622670290294951
run_20260209_115320,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T11:54:39.347543+00:00,3.307718901881991e-05,1.0,1.0,1.0,0.6688092783879327,0.6003329687743465
