run_id,prompt_id,source,category,model,temperature,run,instruction_version,run_timestamp,instructional_stability_score,verbosity_score,confidence_score,format_score,latency_score,overall_quality_score
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T17:45:03.248410+00:00,8.842698865988318e-05,1.0,1.0,1.0,0.34644532553412755,0.5519977482761501
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T17:45:06.900048+00:00,8.842698865988318e-05,1.0,1.0,1.0,0.39766666589842337,0.5596809493307945
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T17:45:10.272574+00:00,0.0006533919798673806,1.0,1.0,1.0,0.4429022387377456,0.5666640230036154
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T17:45:13.385090+00:00,0.0006533919798673806,1.0,1.0,1.0,0.45056947740421527,0.5678141088035858
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T17:45:16.454987+00:00,0.0030275547453758153,1.0,1.0,1.0,0.7724949132034872,0.6169338811414047
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T17:45:17.903648+00:00,0.0030275547453758153,1.0,1.0,1.0,0.7011959139362449,0.6062390312513183
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T17:45:20.348087+00:00,6.027056797526223e-05,1.0,1.0,1.0,0.7579065508360749,0.6137070773242026
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T17:45:21.989167+00:00,6.027056797526223e-05,1.0,0.7,1.0,0.5887660957642296,0.5283360090634258
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-09T17:45:25.061170+00:00,0.0006319712428535447,1.0,1.0,1.0,0.5719060519670598,0.5860070977300578
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-09T17:45:27.416684+00:00,0.0006319712428535447,1.0,1.0,1.0,0.516499187988955,0.577696068133342
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-09T17:45:30.076831+00:00,0.0004236229926027881,1.0,1.0,1.0,0.4973862940719228,0.5747562121581994
run_20260209_174500,SQUAD_001,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-09T17:45:32.842266+00:00,0.0004236229926027881,1.0,1.0,1.0,0.38587869295761656,0.5580300719910535
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T17:45:36.220994+00:00,0.00030864051711858135,1.0,0.6,1.0,0.7799366267581354,0.5370985181947118
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T17:45:37.450958+00:00,0.00030864051711858135,1.0,1.0,0.7,0.5883163086354215,0.5433554704763047
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T17:45:40.521668+00:00,0.0006868921030384822,1.0,0.6,1.0,0.7800948421938672,0.5372546385651435
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T17:45:41.750710+00:00,0.0006868921030384822,1.0,1.0,0.7,0.6050362273655256,0.5459958463408924
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T17:45:44.729307+00:00,0.005799404726842141,0.9701492537313433,1.0,1.0,0.7750699945158004,0.6138126788914663
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T17:45:46.154567+00:00,0.005799404726842141,1.0,1.0,1.0,0.7016311182654117,0.6072744593942065
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T17:45:48.620148+00:00,0.0011324936209554895,0.9552238805970149,1.0,1.0,0.8089047497023525,0.6150156673122396
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T17:45:49.940994+00:00,0.0011324936209554895,1.0,1.0,1.0,0.6073408379191247,0.591497498455203
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.2,1,v1_concise,2026-02-09T17:45:53.217825+00:00,0.00010103940183709342,0.9402985074626866,1.0,1.0,0.7947748767809487,0.6102963714271883
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.2,2,v2_detailed,2026-02-09T17:45:54.347202+00:00,0.00010103940183709342,1.0,1.0,1.0,0.5073893720287541,0.5761437695949561
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.8,1,v1_concise,2026-02-09T17:45:57.931395+00:00,0.001580522168736217,1.0,1.0,1.0,0.8341959573566224,0.6256825763625511
run_20260209_174500,SQUAD_002,squad_v1,factual,gpt-3.5-turbo-0125,0.8,2,v2_detailed,2026-02-09T17:45:58.845161+00:00,0.001580522168736217,1.0,1.0,1.0,0.6407495563923433,0.5966656162179091
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.2,1,v1_concise,2026-02-09T17:46:01.909770+00:00,7.610981447080956e-05,1.0,1.0,1.0,0.7196472841447648,0.6079737310567795
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.2,2,v2_detailed,2026-02-09T17:46:03.500709+00:00,7.610981447080956e-05,1.0,1.0,1.0,0.6449258086123315,0.5967655097269146
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.8,1,v1_concise,2026-02-09T17:46:05.920541+00:00,0.0005530843701478336,1.0,1.0,1.0,0.5687225625113156,0.5855019639062491
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4o-mini,0.8,2,v2_detailed,2026-02-09T17:46:08.348808+00:00,0.0005530843701478336,1.0,1.0,1.0,0.6644862215140727,0.5998665127566627
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.2,1,v1_concise,2026-02-09T17:46:10.224292+00:00,0.00011739103691911796,1.0,1.0,1.0,0.7776869810464166,0.6166941340198842
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.2,2,v2_detailed,2026-02-09T17:46:11.758834+00:00,0.00011739103691911796,1.0,1.0,1.0,0.398655260415141,0.5598393759251928
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.8,1,v1_concise,2026-02-09T17:46:16.158882+00:00,3.253047117267129e-05,1.0,1.0,1.0,0.6608073407400273,0.5991324867759146
run_20260209_174500,SQUAD_003,squad_v1,factual,gpt-4.1-mini,0.8,2,v2_detailed,2026-02-09T17:46:18.307291+00:00,3.253047117267129e-05,0.9906396255850234,1.0,1.0,0.6443303444458341,0.5952568811695391
